frequency_rank,spanish,part_of_speech,english_meaning,korean,category_code
159,además,adv,"also, as well, besides",게다가,B-2
160,solo,adj,"lonely, alone",혼자인,A-1-a
161,empezar,v,"to begin, start",시작하다,B-2
162,ejemplo,nm,example,"예, 본보기",A-2
163,esperar,v,"to wait, hope (for), expect","기다리다, 바라다",A-3
164,hoy,adv,"today, nowadays",오늘,B-2
165,lado,nm,side,"쪽, 편",B-2
166,hijo,nm,"son, [pl] children","아들, 자녀들",B-2
167,allí,adv,"there, over there",거기에,B-2
168,éste,pron,"this one (m), (ésta (f))",이것,B-2
169,problema,nm,problem,문제,A-1-b
170,cuenta,nf,"bill, account","계산서, 계좌",B-2
171,medio,nm,"means, middle; por medio: through","수단, 중간",A-3
172,contra,prep,"against, opposite",~에 대항하여,A-1-a
173,buscar,v,to look for,찾다,B-2
174,dentro,adv,inside,안에,B-2
175,largo,adj,long,긴,B-3
176,palabra,nf,word,단어,B-2
177,existir,v,to exist,존재하다,A-1-a
178,niño,nm,"child, little boy","아이, 소년",B-2
179,entrar,v,to enter,들어가다,A-3
180,embargo,nm,sin embargo: nevertheless,그럼에도 불구하고,B-2
181,único,adj,"only, unique, sole","유일한, 독특한",A-2
182,padre,nm,father,아버지,A-3
183,trabajar,v,to work,일하다,B-2
184,pequeño,adj,"little, small, young",작은,B-2
185,alto,adj,"tall, high","키가 큰, 높은",B-2
186,cambio,nm,change,변화,B-2
187,escribir,v,to write,쓰다,A-3
188,cuatro,num,four,넷,B-2
189,ahí,adv,there,거기,B-2
190,perder,v,"to lose, miss","잃다, 놓치다",B-2
191,nosotros,pron,we (subj),우리,B-1
192,historia,nf,"history, story","역사, 이야기",A-2
193,idea,nf,idea,생각,A-1-a
194,agua,nf (el),water,물,A-3
195,producir,v,"to produce, cause",생산하다,A-2
196,noche,nf,"night, evening","밤, 저녁",B-2
197,ciudad,nf,city,도시,A-2
198,modo,nm,"way, manner","방식, 방법",A-3
199,nombre,nm,"name, noun",이름,A-3
200,ocurrir,v,"to happen, occur",발생하다,A-2
201,familia,nf,family,가족,A-1-b
202,realidad,nf,"reality, actuality","현실, 실제",A-2
203,entender,v,to understand,이해하다,B-2
204,pedir,v,"to ask for, request","요청하다, 주문하다",A-3
205,recibir,v,to receive,받다,A-3
206,obra,nf,"work, book, deed","작품, 일",B-2
207,importante,adj,important,중요한,A-1-b
208,medio,adj,"half, middle","절반의, 중간의",A-3
209,verdad,nf,truth,진실,A-3
210,mes,nm,month,"달, 월",B-2
211,todavía,adv,"still, yet",아직,B-2
212,razón,nf,reason; tener razón: to be right,"이유, 이성",A-2
213,cuanto,adj,"en cuanto a: in terms of, regarding",~에 관하여,B-2
214,bajo,prep,"under, underneath",~아래에,B-2
215,recordar,v,"to remember, remind","기억하다, 상기시키다",A-3
216,grupo,nm,group,그룹,A-1-a
217,mil,num,thousand,천,B-2
218,humano,adj,human,인간의,A-1-a
219,terminar,v,"to finish, end",끝내다,A-3
220,permitir,v,"to allow, permit",허락하다,A-3
221,aparecer,v,to appear,나타나다,B-2
222,conseguir,v,"to get, acquire, obtain","얻다, 획득하다",B-2
223,comenzar,v,"to begin, start",시작하다,A-3
224,varios,adj,"several, various","몇몇의, 다양한",A-2
225,posible,adj,possible,가능한,A-1-b
226,servir,v,to serve,"봉사하다, 쓸모있다",A-1-a
227,general,adj,general,일반적인,A-1-a
228,sacar,v,to take out,꺼내다,B-2
229,necesitar,v,to need,필요하다,A-2
230,relación,nf,"relationship, relation",관계,A-2
231,cinco,num,five,다섯,B-2
232,cuerpo,nm,body,"몸, 신체",A-3
233,nadie,pron,"nobody, anybody",아무도 ~않다,B-2
234,mantener,v,"to keep, maintain",유지하다,A-3
235,hecho,nm,"fact, happening","사실, 사건",B-2
236,ante,prep,"before, in the presence of",~앞에,B-1
237,principio,nm,"beginning, principle","시작, 원칙",A-2
238,resultar,v,"to result, turn out",~라는 결과가 되다,A-2
239,igual,adj,"equal, same (as)","같은, 동등한",A-2
240,señor,nm,"sir, Mr, lord","씨, 선생님",B-2
241,pueblo,nm,"people, village","마을, 민족",B-2
242,tarde,nf,"afternoon, evening","오후, 저녁",B-2
243,segundo,adj,second,두번째의,A-1-b
244,leer,v,to read,읽다,B-2
245,caer,v,to fall,떨어지다,B-2
246,cambiar,v,to change,"바꾸다, 변하다",B-2
247,ojo,nm,eye,눈,A-3
248,calle,nf,street,거리,B-2
249,presentar,v,"to introduce, present","소개하다, 발표하다",A-2
250,blanco,adj,white,흰색의,B-2
251,crear,v,to create,창조하다,A-1-a
252,abrir,v,to open,열다,B-2
253,libro,nm,book,책,B-2
254,distinto,adj,"distinct, different",다른,A-2
255,fuerza,nf,"strength, force, power",힘,B-2
256,luz,nf,light,빛,B-2
257,según,prep,according to,~에 따르면,B-1
258,santo,nm,saint (m),성인(남),A-3
259,claro,adj,clear,명확한,A-3
260,frente,nmf,al frente: facing; frente a: across from,"앞, 정면",A-3
261,considerar,v,to consider,고려하다,A-1-b
262,amigo,nm,friend,친구,B-2
263,oír,v,to hear,듣다,A-3
264,cuyo,adj,whose,~의,B-2
265,sentido,nm,"sense, feeling","감각, 의미, 방향",A-3
266,acabar,v,acabar de V: to have just Ved; finish,"막 ~하다, 끝내다",B-2
267,paso,nm,"step, pace","걸음, 단계",B-2
268,situación,nf,situation,상황,A-2
269,usted,pron,you (subj/-fam),당신,B-1
270,bastante,adj,"rather, fairly, quite a bit (adv)","꽤, 상당히",B-2
271,convertir,v,"to convert, change, become","전환하다, ~이 되다",A-2
272,gracia,nf,"(pl) thank you; grace, favor","감사, 은총, 재미",A-2
273,siglo,nm,"century, age",세기,B-2
274,dios,nm,"god, divinity",신,A-3
275,malo,adj,bad,나쁜,B-2
276,tierra,nf,"earth, land, ground","땅, 지구",A-3
277,papel,nm,"paper, role, part","종이, 역할",A-1-a
278,madre,nf,mother,어머니,B-2
279,tampoco,adv,"neither, nor, either",~도 또한 아니다,B-2
280,social,adj,social,사회의,A-1-a
281,viejo,adj,"old, aged","늙은, 오래된",B-2
282,aún,adv,"still, yet",아직,B-2
283,tema,nm,"theme, subject, topic","주제, 테마",A-3
284,político,adj,political,정치의,A-2
285,español,adj,Spanish,"스페인의, 스페인어",B-2
286,ganar,v,"to win, earn","이기다, 벌다",B-2
287,formar,v,to form,형성하다,A-1-b
288,clase,nf,"kind, class, order","종류, 수업",A-1-b
289,traer,v,"to bring, carry",가져오다,B-2
290,partir,v,"to divide, leave; a partir de: starting","나누다, 떠나다",A-1-b
291,dinero,nm,money,돈,B-2
292,quién,pron,"who?, whom?",누구,B-1
293,morir,v,to die,죽다,A-3
294,incluso,adv,"including, even (adv)",심지어,A-2
295,campo,nm,"field, country","들판, 시골",A-3
296,aceptar,v,to accept,받아들이다,A-2
297,quizás,adv,"perhaps, maybe",아마도,B-2
298,cabeza,nf,head (part of body),머리,B-2
299,realizar,v,"to fulfill, carry out","실현하다, 수행하다",B-3
300,ciento,num,hundred,백,A-3
301,mal,adv,badly,나쁘게,B-2
302,orden,nmf,"order; sequence (m), religious order (f)","순서, 명령",A-1-b
303,don,nm,"courtesy title (m), Mr, gift","~씨 (남성 존칭), 재능",B-2
304,semana,nf,week,주,B-2
305,suponer,v,"to suppose, assume",가정하다,A-2
306,comprender,v,to understand,이해하다,A-3
307,final,nmf,"al final: finally, in the end",끝,A-1-a
308,interés,nm,interest,관심,A-1-b
309,siguiente,adj,"following, next",다음의,B-2
310,vista,nf,"view, sight","시야, 경치",A-3
311,lograr,v,"to achieve, get, manage",성취하다,B-2
312,demás,adj,"the rest, others",나머지,B-2
313,acuerdo,nm,accord; de acuerdo: in agreement,"합의, 동의",A-3
314,difícil,adj,"difficult, hard",어려운,A-2
315,número,nm,number,수,A-1-b
316,explicar,v,to explain,설명하다,A-3
317,negro,adj,black,검은,B-2
318,fondo,nm,"bottom, end","바닥, 끝, 기금",B-2
319,camino,nm,"road, route, path","길, 도로",B-2
320,voz,nf,voice,목소리,A-3
321,estudio,nm,"study, learning","공부, 연구",A-2
322,necesario,adj,necessary,필요한,A-2
323,preguntar,v,to ask (a question),질문하다,B-2
324,allá,adv,"there, over there",저기에,B-2
325,tocar,v,"to touch, play (instrument)","만지다, 연주하다",B-2
326,valor,nm,"value, worth","가치, 용기",A-1-b
327,reconocer,v,"to recognize, admit","알아보다, 인정하다",A-3
328,estudiar,v,to study,공부하다,A-2
329,alcanzar,v,"to reach, catch up with",도달하다,B-2
330,nacer,v,to be born,태어나다,A-3
331,dirigir,v,"to direct, manage","감독하다, 향하다",A-2
332,correr,v,to run,달리다,B-2
333,medida,nf,measure; a medida que: to the extent,"척도, 수단",A-3
334,menor,adj,"younger, youngest","더 어린, 더 작은",A-3
335,demasiado,adj,"too much, too many",너무 많은,B-2
336,solamente,adv,only,오직,A-3
337,bueno,adv,well...,"음..., 글쎄...",B-2
338,utilizar,v,"to use, utilize",이용하다,A-2
339,centro,nm,"center, middle, downtown",중심,A-3
340,necesidad,nf,"necessity, need",필요성,A-2
341,condición,nf,condition,조건,A-2
342,pagar,v,to pay,지불하다,B-2
343,ello,pron,it (subj-n),그것,B-1
344,falta,nf,"lack, shortage","부족, 결핍",B-2
345,ayudar,v,to help,돕다,A-3
346,diez,num,ten,열,B-2
347,través,adv,"a través: across, over, through",~을 통하여,B-2
348,antiguo,adj,"old, ancient, former","오래된, 고대의",A-3
349,tu,adj,your (sg/+fam),너의,B-1
350,edad,nf,age,나이,B-2
351,estado,nm,"state, condition, status","상태, 국가",A-1-b
352,ser,nm,being,존재,B-2
353,gustar,v,to be pleasing to,~을 좋아하다,B-2
354,puerta,nf,door,문,B-2
355,jugar,v,to play (sport/game),"놀다, 경기하다",B-2
356,cara,nf,"face, expression",얼굴,B-2
357,mí,pron,me (obj prep),나,B-1
358,época,nf,"time, age, period","시대, 시기",A-3
359,color,nm,color,색,A-1-a
360,escuchar,v,to listen to,듣다,B-2
361,experiencia,nf,experience,경험,A-2
362,movimiento,nm,movement,움직임,A-3
363,cumplir,v,to fulfill,수행하다,A-3
364,especial,adj,special,특별한,A-2
365,diferente,adj,"different, separate",다른,A-1-b
366,pesar,nm,sorrow; a pesar de: in spite of,~에도 불구하고,B-2
367,posibilidad,nf,possibility,가능성,A-2
368,ofrecer,v,"to offer, present",제공하다,A-3
369,descubrir,v,to discover,발견하다,A-3
370,anterior,adj,"previous, preceding",이전의,A-2
371,juego,nm,"game, play, sport","놀이, 게임",B-2
372,levantar,v,"to raise, lift",들어올리다,B-2
373,pobre,adj,poor,가난한,A-3
374,aire,nm,"air, wind, appearance","공기, 바람",A-1-b
375,seis,num,six,여섯,B-2
376,intentar,v,"to try, attempt",시도하다,A-3
377,guerra,nf,"war, warfare",전쟁,A-3
378,junto,adv,"together with, next to",함께,A-3
379,resultado,nm,"result, outcome",결과,A-2
380,usar,v,to use,사용하다,A-1-a
381,decidir,v,to decide,결정하다,A-2
382,repetir,v,to repeat,반복하다,A-2
383,olvidar,v,to forget,잊다,B-2
384,ley,nf,"law, bill, rule",법,A-3
385,aspecto,nm,"aspect, appearance","측면, 외모",A-2
386,pie,nm,"foot, base","발, 기초",A-3
387,valer,v,"to be worth, cost",가치가 있다,A-3
388,especie,nf,"kind, sort, species","종류, 종",A-2
389,comer,v,to eat,먹다,B-2
390,servicio,nm,"service, helpfulness",서비스,A-1-b
391,cerca,adv,"close, near",가까이,B-2
392,mostrar,v,to show,보여주다,B-2
393,actividad,nf,"activity, action",활동,A-2
394,tercero,adj,third,세번째의,B-2
395,cuál,pron,which?,어느 것,B-2
396,pronto,adv,"soon, quick",곧,B-2
397,ocupar,v,"to occupy, use",차지하다,A-2
398,cuestión,nf,"question, matter","문제, 질문",A-2
399,duda,nf,doubt,의심,B-2
400,diferencia,nf,difference,차이점,A-2
401,mañana,nf,"morning, tomorrow","아침, 내일",B-2
402,mover,v,"to move, incite","움직이다, 자극하다",A-1-a
403,continuar,v,to continue,계속하다,A-2
404,cantidad,nf,"quantity, amount","양, 수량",A-2
405,acción,nf,"action, act, deed","행동, 행위",A-2
406,suceder,v,to happen,일어나다,A-3
407,fijar,v,"to set, fix, [se] notice","고정시키다, 정하다",A-1-a
408,sociedad,nf,society,사회,A-2
409,referir,v,to refer (to),언급하다,A-1-a
410,acercar,v,to come near,가까이 가다,B-2
411,capaz,adj,"capable, able",능력있는,A-2
412,bajo,adj,"short, low","키가 작은, 낮은",B-2
413,libre,adj,"free, vacant","자유로운, 비어있는",A-3
414,natural,adj,natural,자연의,A-1-a
415,dedicar,v,"to dedicate, devote",바치다,A-2
416,realmente,adv,"really, actually, in fact",정말로,A-2
417,peso,nm,"peso (money), weight, load","페소(화폐), 무게",B-2
418,efecto,nm,effect,효과,A-2
419,objeto,nm,"object, thing","물건, 대상",A-2
420,verdadero,adj,"true, real",진정한,B-2
421,dónde,adv,where?,어디에,B-2
422,aprender,v,to learn,배우다,A-3
423,amor,nm,love,사랑,A-3
424,muerte,nf,death,죽음,A-3
425,partido,nm,"party, group, (sports) match","정당, 시합",A-1-b
426,económico,adj,economic,경제의,A-2
427,derecho,nm,"right, justice, law","권리, 법",B-2
428,poder,nm,power,힘,A-1-b
429,importancia,nf,importance,중요성,A-2
430,sistema,nm,system,시스템,A-1-b
431,viaje,nm,"travel, trip",여행,A-3
432,suelo,nm,"ground, floor","땅, 바닥",B-2
433,respecto,nm,"respect, con respecto a: with regards to",~에 관하여,A-2
434,conocimiento,nm,knowledge,지식,B-2
435,libertad,nf,"freedom, liberty",자유,A-2
436,encima,adv,"above, on top, in addition",~위에,B-2
437,comprar,v,to buy,사다,B-2
438,común,adj,common,공통의,A-1-b
439,abierto,adj,"open, unlocked",열린,B-2
440,próximo,adj,next,다음의,A-3
441,atención,nf,attention,주의,A-2
442,joven,adj,young,젊은,B-2
443,subir,v,to go up,오르다,B-2
444,esfuerzo,nm,"effort, endeavor",노력,B-2
445,pasado,adj,"past, last","과거의, 지난",A-1-b
446,evitar,v,"to avoid, prevent",피하다,A-3
447,resto,nm,"rest, remainder, leftover",나머지,A-1-a
448,interesar,v,to interest,흥미를 갖게 하다,A-2
449,zona,nf,"area, zone","지역, 구역",A-1-a
450,miedo,nm,fear,두려움,B-2
451,fuera,adv,"out, outside, away",밖에,B-2
452,proceso,nm,"process, procedure","과정, 절차",A-1-b
453,vivo,adj,"alive, bright","살아있는, 생생한",A-3
454,cerrar,v,to close,닫다,B-2
455,echar,v,"to throw, cast",던지다,B-2
456,responder,v,"to answer, respond",대답하다,A-2
457,sufrir,v,"to suffer, undergo","겪다, 고통받다",A-1-b
458,completo,adj,complete,완전한,A-2
459,minuto,nm,minute,분,A-1-b
460,contrario,adj,"contrary, opposite",반대의,A-1-a
461,mesa,nf,"table, board","테이블, 식탁",B-2
462,real,adj,"royal, real, authentic","왕의, 실제의",A-1-a
463,ocasión,nf,"opportunity, occasion","기회, 경우",A-2
464,importar,v,"to matter, import","중요하다, 수입하다",A-2
465,público,adj,public,공공의,A-2
466,obtener,v,to obtain,얻다,A-3
467,programa,nm,"program, plan",프로그램,A-1-a
468,favor,nm,"favor, benefit","호의, 부탁",A-1-a
469,lejos,adv,"far (away, off)",멀리,B-2
470,siete,num,seven,일곱,B-2
471,enorme,adj,"enormous, vast",거대한,A-2
472,respuesta,nf,"answer, reply",대답,B-2
473,línea,nf,"line, course","선, 노선",A-1-b
474,espacio,nm,"space, room","공간, 우주",A-2
475,nivel,nm,level,수준,A-1-b
476,gobierno,nm,government,정부,B-2
477,cabo,nm,"end, bit; llevar a cabo: to carry out",끝,B-2
478,observar,v,to observe,관찰하다,A-1-a
479,indicar,v,to indicate,가리키다,A-2
480,alguien,pron,"somebody, someone, anyone",누군가,B-2
481,pregunta,nf,question,질문,B-2
482,claro,adv,"of course, clearly",물론,A-3
483,atrás,adv,"back, behind, ago",뒤에,B-2
484,imagen,nf,"image, picture",이미지,A-2
485,carrera,nf,"career, course, race","경력, 경주",B-2
486,imaginar,v,to imagine,상상하다,A-2
487,soler,v,to be accustomed to,~하곤 하다,B-2
488,ambos,adj,both,양쪽의,B-2
489,profundo,adj,"deep, profound",깊은,A-3
490,detener,v,"to stop, detain","멈추다, 구금하다",A-3
491,desarrollar,v,to develop,발전시키다,B-2
492,ocho,num,eight,여덟,B-2
493,señalar,v,"to point (out), signal",가리키다,B-2
494,elegir,v,"to choose, elect",선택하다,A-3
495,figura,nf,figure,"모습, 인물",A-1-a
496,principal,adj,"main, principal",주요한,A-1-a
497,animal,nm,animal,동물,A-1-a
498,base,nf,"base, basis","기초, 기반",A-1-b
499,preparar,v,to prepare,준비하다,A-2
500,proponer,v,to propose,제안하다,A-2
501,demostrar,v,"show, demonstrate","보여주다, 증명하다",A-2
502,significar,v,mean,의미하다,A-3
503,posición,nf,position,위치,A-2
504,motivo,nm,"motive, cause","동기, 원인",A-1-b
505,prueba,nf,"proof, trial, test","증거, 시험",B-2
506,política,nf,"politics, policy","정치, 정책",A-2
507,nacional,adj,national,국가의,A-2
508,lleno,adj,"full, filled",가득 찬,B-2
509,reunir,v,"gather, meet, collect","모으다, 만나다",A-3
510,faltar,v,be lacking,부족하다,B-2
511,supuesto,adj,supposed; por supuesto: of course,가정된; 물론,A-2
512,acompañar,v,accompany,동반하다,A-2
513,dato,nm,"data, fact","데이터, 사실",A-1-a
514,fácil,adj,easy,쉬운,A-3
515,desear,v,"want, desire, wish for","원하다, 바라다",A-3
516,adelante,adv,"forward, further",앞으로,B-2
517,empresa,nf,"firm, company, venture",회사,A-3
518,asunto,nm,"matter, issue, affair","문제, 일",B-2
519,presencia,nf,"presence, appearance",존재,A-2
520,suyo,pron,"his, hers, yours (-fam), theirs","그의, 그녀의, 당신의",B-1
521,cultura,nf,culture,문화,A-1-b
522,serie,nf,series,시리즈,A-1-a
523,millón,num,"million, fortune",백만,A-2
524,enseñar,v,"teach, show","가르치다, 보여주다",B-2
525,construir,v,"construct, build",건설하다,A-2
526,vender,v,sell,팔다,B-2
527,representar,v,represent,대표하다,A-2
528,desaparecer,v,"disappear, vanish",사라지다,B-2
529,mandar,v,"send, order","보내다, 명령하다",A-3
530,carácter,nm,"personality, nature","성격, 특징",A-2
531,mayoría,nf,majority,대부분,A-2
532,escuela,nf,school,학교,A-2
533,rojo,adj,red,빨간,B-2
534,tras,prep,"after, behind",~뒤에,B-1
535,superior,adj,"superior, upper",우월한,A-1-a
536,andar,v,"walk, function","걷다, 작동하다",B-2
537,corto,adj,"short, brief",짧은,B-2
538,autor,nm/f,"writer, author",작가,A-2
539,hermano,nm,"brother, [pl] siblings","형제, 자매",B-2
540,conocido,adj,"known, well-known",알려진,B-2
541,preferir,v,prefer,선호하다,A-1-b
542,asegurar,v,"assure, secure, insure",보장하다,A-3
543,función,nf,"function, meeting","기능, 회의",A-2
544,arriba,adv,"up, above",위에,B-2
545,serio,adj,serious,진지한,A-3
546,causa,nf,cause,원인,A-1-b
547,suficiente,adj,"sufficient, enough",충분한,A-2
548,grave,adj,"serious, solemn",심각한,A-3
549,decisión,nf,decision,결정,A-2
550,música,nf,music,음악,A-1-b
551,extraño,adj,"strange, foreign","이상한, 외국의",A-3
552,crecer,v,"grow, increase","자라다, 증가하다",A-3
553,surgir,v,"appear, spring (forth)",나타나다,A-3
554,tú,pron,you (subj-sg/+fam),너,B-1
555,expresión,nf,expression,표현,A-2
556,alrededor,adv,"about, around, round",주변에,B-2
557,matar,v,kill,죽이다,B-2
558,entregar,v,deliver,배달하다,B-2
559,río,nm,river,"강, 하천",A-3
560,seguridad,nf,"security, safety","안전, 보안",A-2
561,término,nm,"term (language), end","용어, 끝",A-3
562,colocar,v,"place, position","놓다, 배치하다",A-3
563,metro,nm,"meter, subway","미터, 지하철",A-1-a
564,médico,nm/f,doctor,의사,A-2
565,establecer,v,establish,설립하다,A-2
566,guardar,v,"keep, save","지키다, 저장하다",B-2
567,arte,nm,"art, skill","예술, 기술",A-1-a
