순위,스페인어,품사,의미,분류코드
477,cabo,nm,"end, bit; llevar a cabo: to carry out",B-2
478,observar,v,to observe,A-1-a
479,indicar,v,to indicate,A-2
480,alguien,pron,"somebody, someone, anyone",B-2
481,pregunta,nf,question,B-2
482,claro,adv,"of course, clearly",A-3
483,atrás,adv,"back, behind, ago",B-2
484,imagen,nf,"image, picture",A-2
485,carrera,nf,"career, course, race",B-2
486,imaginar,v,to imagine,A-2
487,soler,v,to be accustomed to,B-2
488,ambos,adj,both,B-2
489,profundo,adj,"deep, profound",A-3
490,detener,v,"to stop, detain",A-3
491,desarrollar,v,to develop,B-2
492,ocho,num,eight,B-2
493,señalar,v,"to point (out), signal",B-2
494,elegir,v,"to choose, elect",A-3
495,figura,nf,figure,A-1-a
496,principal,adj,"main, principal",A-1-a
497,animal,nm,animal,A-1-a
498,base,nf,"base, basis",A-1-b
499,preparar,v,to prepare,A-2
500,proponer,v,to propose,A-2
501,demostrar,v,"show, demonstrate",A-2
502,significar,v,mean,A-3
503,posición,nf,position,A-2
504,motivo,nm,"motive, cause",A-1-b
505,prueba,nf,"proof, trial, test",B-2
506,política,nf,"politics, policy",A-2
507,nacional,adj,national,A-2
508,lleno,adj,"full, filled",B-2
509,reunir,v,"gather, meet, collect",A-3
510,faltar,v,be lacking,B-2
511,supuesto,adj,supposed; por supuesto: of course,A-2
512,acompañar,v,accompany,A-2
513,dato,nm,"data, fact",A-1-a
514,fácil,adj,easy,A-3
515,desear,v,"want, desire, wish for",A-3
516,adelante,adv,"forward, further",B-2
517,empresa,nf,"firm, company, venture",A-3
518,asunto,nm,"matter, issue, affair",B-2
519,presencia,nf,"presence, appearance",A-2
520,suyo,pron,"his, hers, yours (-fam), theirs",B-1
521,cultura,nf,culture,A-1-b
522,serie,nf,series,A-1-a
523,millón,num,"million, fortune",A-2
524,enseñar,v,"teach, show",B-2
525,construir,v,"construct, build",A-2
526,vender,v,sell,B-2
527,representar,v,represent,A-2
528,desaparecer,v,"disappear, vanish",B-2
529,mandar,v,"send, order",A-3
530,carácter,nm,"personality, nature",A-2
531,mayoría,nf,majority,A-2
532,escuela,nf,school,A-2
533,rojo,adj,red,B-2
534,tras,prep,"after, behind",B-1
535,superior,adj,"superior, upper",A-1-a
536,andar,v,"walk, function",B-2
537,corto,adj,"short, brief",B-2
538,autor,nm/f,"writer, author",A-2
539,hermano,nm,"brother, [pl] siblings",B-2
540,conocido,adj,"known, well-known",B-2
541,preferir,v,prefer,A-1-b
542,asegurar,v,"assure, secure, insure",A-3
543,función,nf,"function, meeting",A-2
544,arriba,adv,"up, above",B-2
545,serio,adj,serious,A-3
546,causa,nf,cause,A-1-b
547,suficiente,adj,"sufficient, enough",A-2
548,grave,adj,"serious, solemn",A-3
549,decisión,nf,decision,A-2
550,música,nf,music,A-1-b
551,extraño,adj,"strange, foreign",A-3
552,crecer,v,"grow, increase",A-3
553,surgir,v,"appear, spring (forth)",A-3
554,tú,pron,you (subj-sg/+fam),B-1
555,expresión,nf,expression,A-2
556,alrededor,adv,"about, around, round",B-2
557,matar,v,kill,B-2
558,entregar,v,deliver,B-2
559,río,nm,river,A-3
560,seguridad,nf,"security, safety",A-2
561,término,nm,"term (language), end",A-3
562,colocar,v,"place, position",A-3
563,metro,nm,"meter, subway",A-1-a
564,médico,nm/f,doctor,A-2
565,establecer,v,establish,A-2
566,guardar,v,"keep, save",B-2
567,arte,nm,"art, skill",A-1-a
568,iniciar,v,"initiate, start",A-2
569,bajar,v,"come down, let down",B-2
570,consecuencia,nf,consequence,A-2
571,notar,v,notice,A-1-b
572,acto,nm,"act, action",A-1-a
573,meter,v,put (into),B-2
574,absoluto,adj,absolute,A-2
575,pena,nf,trouble; valer la pena: be of worth,B-2
576,actuar,v,act,A-1-a
577,segundo,nm,second,A-1-b
578,altura,nf,"height, altitude",A-3
579,deseo,nm,"desire, wish",A-3
580,precisamente,adv,precisely,A-2
581,joven,nc,"teenager, young person",B-2
582,veinte,num,twenty,B-2
583,sueño,nm,"dream, sleep",B-2
584,pretender,v,attempt,A-3
585,tarea,nf,"task, job",B-2
586,carta,nf,"letter, (playing) card",A-3
587,apenas,adv,"hardly, barely",B-2
588,propiedad,nf,property,A-2
589,producto,nm,product,A-2
590,personal,adj,personal,A-1-a
591,simplemente,adv,"simply, just",A-2
592,imposible,adj,impossible,A-2
593,gusto,nm,"pleasure, taste, preference",B-2
594,ayuda,nf,"help, aid",A-3
595,acordar,v,"remember, remind",A-3
596,lengua,nf,"language, tongue, strip (of land)",A-3
597,cortar,v,cut,B-2
598,plan,nm,plan,A-1-a
599,corresponder,v,correspond with,A-2
600,vuelta,nf,"return, turn",B-2
601,romper,v,break,A-3
602,siquiera,adv,even (if),B-2
603,adquirir,v,"acquire, get",A-2
604,proyecto,nm,"project, plan",A-2
605,memoria,nf,memory,A-2
606,origen,nm,"origin, cause",A-1-b
607,elemento,nm,element,A-1-b
608,inglés,adj,English,A-1-b
609,mercado,nm,market,A-3
610,curso,nm,"course, direction",A-1-b
611,lanzar,v,"throw, launch",B-2
612,aprovechar,v,take advantage of,B-2
613,sangre,nf,blood,B-2
614,interior,nm,"interior, inside",A-1-a
615,duro,adj,hard,A-3
616,apoyar,v,"support, lean on",B-2
617,negar,v,"deny, refuse",A-3
618,avanzar,v,"advance, progress",A-2
619,uso,nm,use,A-1-a
620,brazo,nm,arm,B-2
621,profesor,nm/f,"professor, teacher",A-2
622,resolver,v,"resolve, settle, work out",A-3
623,futuro,nm,future,A-1-a
624,oportunidad,nf,"opportunity, chance",A-2
625,mitad,nf,"half, middle",B-2
626,costar,v,"cost, be hard",A-1-b
627,rico,adj,"rich, tasty",A-1-a
628,recuerdo,nm,"memory, keepsake",B-2
629,total,adj,"total, entire",A-1-a
630,exigir,v,demand,A-3
631,abajo,adv,"down, below, downward",B-2
632,opinión,nf,"opinion, view",A-2
633,aumentar,v,increase,A-3
634,recoger,v,pick up,B-2
635,boca,nf,"mouth, entrance, opening",B-2
636,dirección,nf,"direction, address",A-2
637,puro,adj,"pure, clean",A-1-a
638,abandonar,v,"abandon, leave (a place)",A-2
639,pieza,nf,"piece, part",B-2
640,profesional,adj,professional,A-2
641,imponer,v,"impose, enforce",A-3
642,obligar,v,"obligate, force",A-3
643,físico,adj,physical,A-2
644,actitud,nf,attitude,A-2
645,mar,nmf,sea,A-3
646,francés,adj,French,B-2
647,entrada,nf,"entrance, admission ticket",B-2
648,contacto,nm,contact,A-2
649,corazón,nm,"heart, core",B-2
650,aplicar,v,apply,A-2
651,capital,nmf,"capital; city (f), money (m)",A-1-a
652,rápido,adj,"quick, fast",A-2
653,título,nm,"title, heading",A-1-b
654,pertenecer,v,to belong,A-3
655,cuarto,nm,"room, chamber",B-2
656,material,nm,"material, element",A-1-a
657,golpe,nm,"hit, strike, punch",B-2
658,disponer,v,"have means, dispose",B-2
659,comunicación,nf,communication,A-2
660,expresar,v,express,A-2
661,simple,adj,"simple, mere, simple-minded",A-1-a
662,totalmente,adv,"totally, completely",A-2
663,provocar,v,"cause, provoke",A-3
664,normal,adj,"normal, usual, regular",A-1-a
665,defender,v,"defend, protect",A-2
666,enfermedad,nf,"illness, sickness",B-2
667,bien,nm,"goods, property, benefit",B-2
668,materia,nf,"matter, subject",A-1-b
669,quitar,v,"remove, take away",B-2
670,conservar,v,"conserve, preserve",A-2
671,moderno,adj,modern,A-1-b
672,sitio,nm,"place, space",B-2
673,depender,v,depend on,A-2
674,naturaleza,nf,"nature, character",B-2
675,capacidad,nf,capacity,A-2
676,actual,adj,current,A-2
677,marcar,v,"mark, note, dial",A-1-a
678,distancia,nf,distance,A-2
679,pleno,adj,"complete, full",B-2
680,cerrado,adj,closed,B-2
681,compartir,v,share,B-2
682,información,nf,information,A-2
683,ambiente,nm,"environment, atmosphere",A-3
684,especialmente,adv,especially,A-2
685,desarrollo,nm,development,B-2
686,sol,nm,sun,A-3
687,muerto,adj,dead,B-2
688,consistir,v,consist of,A-2
689,constituir,v,"constitute, consist of",A-2
690,dispuesto,adj,"willing, ready",B-2
691,cubrir,v,cover,B-2
692,funcionar,v,"work, function",A-2
693,compañero,nm,"companion, classmate",A-3
694,salida,nf,"exit, escape, outcome",B-2
695,caber,v,fit (into),B-2
696,conciencia,nf,"conscience, consciousness",A-2
697,atender,v,"serve, attend to",A-2
698,enfermo,adj,"ill, sick",B-2
699,insistir,v,insist on,A-2
700,costumbre,nf,"habit, custom, usage",A-3
701,detrás,adv,behind,B-2
702,paz,nf,peace,B-2
703,noticia,nf,news,B-2
704,circunstancia,nf,circumstance,A-2
705,dolor,nm,"pain, ache, sorrow",A-3
706,privado,adj,private,A-2
707,estilo,nm,style,A-2
708,precio,nm,"price, cost, value",A-3
709,popular,adj,popular,A-1-a
710,sentar,v,"sit (down), seat",B-2
711,planta,nf,"plant, floor",A-1-b
712,personaje,nm,character (e.g. movie),B-2
713,famoso,adj,"famous, well-known",A-2
714,éxito,nm,success,B-3
715,hija,nf,daughter,B-2
716,merecer,v,"deserve, be worthy (of)",A-3
717,edificio,nm,building,A-3
718,autoridad,nf,authority,A-2
719,piedra,nf,"stone, rock",B-2
720,incluir,v,include,A-2
721,conjunto,nm,"group, set",B-2
722,treinta,num,thirty,B-2
723,cuánto,adj,how much?,B-2
724,inmediato,adj,immediate,A-2
725,suerte,nf,"luck, fortune",B-2
726,cruzar,v,cross,A-1-b
727,tender,v,"tend to, lay out",A-2
728,finalmente,adv,"finally, at last",A-2
729,junto,adj,together,A-3
730,anunciar,v,"announce, advertise",A-2
731,espíritu,nm,"spirit, ghost",A-2
732,miembro,nm,"member, limb",A-3
733,directo,adj,"direct, straight",A-2
734,despertar,v,"wake (up), arouse",B-2
735,recurso,nm,"resource, recourse, means",A-3
736,pared,nf,(interior) wall,B-2
737,equipo,nm,"team, equipment, outfit",B-2
738,error,nm,"error, mistake",A-1-a
739,preciso,adj,"precise, necessary",A-2
740,diverso,adj,"different, several, diverse",A-2
741,dificultad,nf,"difficulty, obstacle",A-2
742,comentar,v,comment on,A-2
743,publicar,v,publish,A-2
